文書体系,,,,,,,,,
更新日時：2026年9月5日 18:17,,,,,,,,,
ー,,,,,,,,,
#,文書名,役割,更新,開く,原本,配布先,備考,書式,ID
1,まとめファイル,各セッションでの結論とその結論を導出した過程を記したアーカイブ,毎セッション末に新規作成,過去経緯を参照したいとき、まとめ履歴で対象を特定し、まとめファイルIDと節を宣言してから開く。承認の要否は【最初に読むこと】5-8による,DB/まとめ/まとめファイル,GH/まとめ,第1回セッションでは存在しない。開く範囲は事前に読み込みの宣言をすること。節単位の部分取得とすること。,md,Saa-bbb（aa:セッション番号、bbb:当該セッションでの通し番号）
2,引き継ぎファイル,前回セッションの結論と引き継ぎ事項を当該セッションへ伝えるためのフロー,毎セッション末に新規作成,セッション開始時最初のレスポンスをする前に開き、全文を読み取る,DB/まとめ,チャット,第1回セッションでは存在しない。,md,Paa-bbb（aa:起票セッション番号、bbb:当該セッション内の通し番号。完了まで維持する）
3,まとめ履歴,まとめファイル群への索引,毎セッション末に更新,1.依頼主から過去経緯の参照を指示されたとき、2.過去経緯を参照したいとき、3.本文書を更新するとき,DB/まとめ,GH/まとめ,第1回セッションでは存在しない。,csv,-
4,確定事項ファイル,現時点の確定情報のみを集約したストック。採用すべき内容だけでなく、適用できないことが確認できたため検討を二度と実施してはいけない内容も記載する,確定事項の変更があったときのみセッション末に更新,1.装置設計を開始するとき、2.依頼主から指示のあったとき、3.本文書を更新するとき,DB/検討結果,GH/検討結果,開く範囲は事前に読み込みの宣言をすること。節単位の部分取得とすること。,csv,D00-bbb（aaは00固定、bbb:プロジェクトを通した通し番号）
5,未確定事項ファイル,未決の事項と、その決着の記録,起票または決着のあったときのみセッション末に更新,1.装置設計を開始するとき、2.依頼主から指示のあったとき、3.未確定事項の起票・決着を検討するとき、4.本文書を更新するとき,DB/検討結果,GH/検討結果,開く範囲は事前に読み込みの宣言をすること。節単位の部分取得とすること。,csv,Uaa-bbb（aa:起票セッション番号、bbb:当該セッション内の通し番号。決着まで維持する）
6,最初に読むこと,セッションを跨ぐ情報伝達ルールとClaudeの行動指針,改訂のあったときのみ,セッション開始時に全文を読み取る,DB/ルール,KB,-,txt,-
7,出力ルール,成果物・文書を出力・保管する際の手順と仕様,改訂のあったときのみ,セッション内で初めて出力する前に全文を読み取る,DB/ルール,GH/ルール,-,txt,-
8,まとめルール,まとめ作業の手順と各文書の様式,改訂のあったときのみ,まとめを指示されたときに全文を読み取る,DB/ルール,GH/ルール,-,txt,-
9,ルール改訂ルール,規程を改訂・廃止する際の起点・手順・指針,改訂のあったときのみ,ルールの改訂を指示されたときに全文を読み取る,DB/ルール,GH/ルール,-,txt,-
10,文書体系,プロジェクトで扱う文書の一覧,文書の新設・廃止のあったとき,セッション開始時に全文を読み取る,DB/ルール,KB,本文書,csv,-
11,プロジェクト概要,依頼主から提供のあった与件。プロジェクトの目的・背景・設置スペース・必要要件,依頼主による,セッション開始時に全文を読み取る,DB/資料,KB,-,txt,-
12,（その他）,依頼主から提供のあった与件,,依頼主から指示のあったとき,DB/資料/*,-,-,-,-
13,ツールリスト,DB/ツールに保管されたツールの一覧と各ツールの用途・入出力,ツールの新設・改訂・廃止のあったとき,作図または成果物生成に着手するとき,DB/ツール,GH/ツール,-,csv,T001（T＋3桁の通し番号。プロジェクトを通して一意）
ー,,,,,,,,,
