文書体系,,,,,,
更新日時：2026年9月20日 14:00,,,,,,
#,文書名,記載内容,配置,ID,項目番号記号,備考
1,最初に読むこと.txt,プロジェクトの概要、基本情報、与件の参照先,GH/ルール,-,Faa,
2,セッション開始ルール.txt,セッション開始時に実行する手順,GH/ルール,-,Saa,
3,まとめルール.txt,まとめ作業の手順と各文書の様式,GH/ルール,-,Maa,
4,出力ルール.txt,成果物・文書を出力する際の手順と仕様,GH/ルール,-,Oaa,
5,ルール改訂ルール.txt,規程を改訂・制定・廃止する際の起点・手順・指針,GH/ルール,-,Raa,
6,文書体系.csv,プロジェクトで扱う文書の一覧,GH/ルール,-,-,本文書
7,まとめファイル.md,現時点の確定情報のみを集約したストック,DB/まとめ/まとめ,Mbb-ccc,-,
8,引き継ぎファイル.md,前回セッションの結論と引き継ぎ事項を当該セッションへ伝えるためのフロー,GH/まとめ/引き継ぎ,Pbb-ccc,-,IDは完了まで維持する
9,まとめ履歴.csv,まとめファイル群への索引,GH/まとめ,-,-,
10,確定事項ファイル.csv,現時点の確定情報と設計前提条件を集約したストック,GH/検討資料,確定事項：Dbb-ccc、前提条件：Abb-ccc,-,
11,与件資料,依頼主から提供のあった与件,GH/与件（「部屋.xlsx」と「禁止語.txt」のみDB/与件）,-,-,与件資料はClaude作成資料ではないため、正式文書ではない。参考としてここに記載している
12,成果物,セッション内で出力した画像等,GH/成果物,Kddd,-,成果物は版管理する資料ではないため、正式文書ではない。参考としてここに記載している
,,,,,,
,,,,,,aa:文書内のとおし番号
,,,,,,bb:セッション番号
,,,,,,ccc:当該セッション内でのとおし番号
,,,,,,ddd:とおし番号。プロジェクトをとおして一意
