前提一覧表
更新日時：2026年9月8日 21:35,,,,,,,,
ー,,,,,,,,
1,はじめに,,,,,,,
1-1.,本文書の目的,フェーズ1の検討で用いる前提の一覧,,,,,,
1-2.,参照の時点,フェーズ1の各ステップに着手する前に読み取る,,,,,,
1-3.,更新,前提の追加・変更・決着があったときに改訂する,,,,,,
1-4.,適用範囲,フェーズ1の完了をもって役割を終える。確定した前提はStep6で確定事項ファイルへ移管する,,,,,,
ー,,,,,,,,
2,記載ルール,,,,,,,
,項目,記載内容,備考,,,,,
2-1.,ID,A00に3桁の通し番号を付す,プロジェクトを通して一意とし再利用しない,,,,,
2-2.,粒度,前提1件につき1行とする,,,,,,
2-3.,status,確定 暫定 未定 要検証 の4値とする,第5の値を置かない,,,,,
2-4.,制約の性質,非交渉 交渉可 要精査 従属 選定 の5値とする,従属は他の前提の値から決まるもの,,,,,
2-5.,出典,確定事項ファイルの項番 まとめファイルID 依頼主聞き取り 本表内の算出 のいずれかを記載する,,,,,,
2-6.,依存,当該行の値が他の前提に従属するとき そのIDを記載する,前提が動いたとき波及先を追跡するために用いる,,,,,
2-7.,数値の単位,特記なき数値の単位はcmとする,確定事項ファイル4-0による,,,,,
2-8.,区切り文字,各欄に半角カンマを使用しない,,,,,,
ー,,,,,,,,
3,データ行,,,,,,,
ID,区分,前提項目,現在値,status,制約の性質,出典,依存,備考
A00-001,幾何,寸法の単位,cm,確定,非交渉,D00 4-0,-,個別記載のない数値に適用
A00-002,幾何,取付可能面,梁1右面 x=89.3 と梁2左面 x=170.0 のみ,確定,非交渉,依頼主聞き取り,-,掘り込み天井 h=270 への取付は不可
A00-003,幾何,取付帯の高さ,h=254.5から270 の15.5,確定,非交渉,D00-004 と D00-010,-,梁せいの範囲
A00-004,幾何,梁間スパン,80.7,確定,非交渉,D00-032,-,擬似天井を渡す場合の支間
A00-005,幾何,水平の余裕,合計23.6 左18.6以上 右5.0以下,暫定,交渉可,D00-032 と D00-028,A00-014,右の値は音響制約による
A00-006,幾何,上側の楔空間,後端上隅で0 勾配0.392 前端で7.81,暫定,従属,本表内の算出,A00-013,収納高さを下げずに使える厚み
A00-007,幾何,下側の余裕,前端下隅で0 勾配0.584 後端で11.63,暫定,従属,D00-033 と D00-035,A00-013,干渉限界との差
A00-008,幾何,収納時のCSP最下点,246.36,確定,従属,S13-006,A00-030,チルト維持を前提とする
A00-009,幾何,必要ストローク,75.39,確定,従属,S13-006 と D00-036,A00-030,旧値81.7は水平収納を仮定した値
A00-010,対象物,CSP質量,7.9kg,確定,非交渉,D00-029,-,-
A00-011,対象物,CSP外形,W57.1 D21.4 H17.0,暫定,非交渉,D00-028,-,実測による照合は未実施 フェーズ3までに照合する
A00-012,対象物,CSPの取付穴,無し,確定,非交渉,依頼主の目視確認,-,ねじによる直接固定は不可
