評価条件一覧,,,,,,,
更新日時：2026年9月17日 00:40,,,,,,,
ー,,,,,,,
1,はじめに,,,,,,
1-1.,本文書の目的,フェーズ1 Step 2で確定した評価軸の条文（合否閾値と優劣面）の現行版を一覧する検討資料,,,,,
1-2.,正の定め,条文の現行版は本表を正とする。まとめファイルの条文は制定と改訂の経緯の記録として扱う,,,,,
,,,,,,,
2,記載ルール,,,,,,
,項目,記載内容,備考,,,,
2-1.,ID,軸番号と条記号を記載する,合否は英小文字 優劣はローマ数字とする,,,,
2-2.,軸名,当該軸の名称を記載する,,,,,
2-3.,区分,合否／優劣 の2値とする,,,,,
2-4.,条文,条文の現行版を記載する,,,,,
2-5.,対応する条,合否と優劣の対応が制定時に明記されている場合に相手の条IDを記載する,明記が無いときは - とする,,,,
2-6.,判定段,合否の条がフェーズ1 Step 4で判定された段（4a／4b）を記載する,優劣は - とする,,,,
2-7.,出典,制定したまとめファイルIDを記載する,改訂のときは書き換えず改訂したまとめファイルIDを追記する,,,,
2-8.,備考,適用範囲・解釈など条文に収まらない事項を記載する,,,,,
2-9.,改訂,条文を改訂するときは新しいプレフィクスを付けた新版を生成する,改訂の経緯はまとめファイルに記載する,,,,
2-10.,区切り文字,各欄に半角カンマを使用しない,,,,,
,,,,,,,
3,データ行,,,,,,
ID,軸名,区分,条文,対応する条,判定段,出典,備考
E1-a,保持と落下防止,合否,無通電状態で方式固有の保持ができること（外付けブレーキ依存は不可）,-,4a,S15-004,
E1-b,保持と落下防止,合否,保持が摩擦のみに依存せず形状拘束を持つこと。荷重経路上のすべての結合に及ぶ,-,4a,S15-004 S16-005,適用注記「荷重経路上のすべての結合に及ぶ」はS16-005で付した
E1-c,保持と落下防止,合否,荷重経路上の任意の1要素の破断・脱落・機能喪失の後が静止保持または律速運動のいずれかであること（拘束消失・判定不能は不可、追加部品による対策を前提とした充足は認めない）。1要素には荷重支持要素と保持要素を含み、制御系の誤動作・電源断・梁躯体・想定外力は含まない,-,4a,S15-004,適用範囲の解釈はD00-049による
E1-i,保持と落下防止,優劣,一重故障後に残る保持余裕が大きいほど優,-,-,S15-004,
E1-ii,保持と落下防止,優劣,保持が効くまでの遊びが小さいほど優,-,-,S15-004,
E2-a,収納幾何,合否,収納状態で機構（CSPを除く）が、A00-037の収納時最下点からD00-004の高さまでの帯に収まること,-,4a・4b,S15-005 S27-003,S15-008によりStep 4aと4bの両方に適用する
E2-b,収納幾何,合否,収納状態で機構の占有空間が、上側の楔A00-006と、CSP後方（A00-033）かつ梁領域の内側に収まること。ダウンライトの配光との関係はE6-bによる,-,4b,S15-005 S25-006 S26-003,後端上隅の使用可能厚みが0であることは本条で判定する（S15-005）。S25-006でd上限130.0を削除。S26-003でd≧71.63をA00-033への参照に改めた
E2-i,収納幾何,優劣,A00-037の包絡高さの使用率が低いほど優,-,-,S15-005 S27-003,
E2-ii,収納幾何,優劣,CSP後方空間（A00-033）の使用量が少ないほど優（占有体積または鉛直断面積で測る）,-,-,S15-005 S16-004 S26-003,測り方の明記はS16-004。S26-003で58.37をA00-033への参照に改めた
E3-a,ストローク確保,合否,収納位置と使用位置の間で必要ストローク（D00-036）の鉛直変位を実現できること,-,4a,S15-008 S26-003,S26-003で75.4をD00-036への参照に改めた
E3-i,ストローク確保,優劣,出せる変位に余裕があるほど優,-,-,S15-008,
E4-a,姿勢保持,合否,CSPの姿勢角を機構が決定し収納・使用の双方でチルト角（A00-013）を維持すること（自由度は1軸）,-,4a,S15-009 S27-003,数値の許容値はフェーズ3へ送る
E4-b,姿勢保持,合否,使用位置でロール方向を拘束すること,-,4a,S15-009,数値の許容値はフェーズ3へ送る
E4-c,姿勢保持,合否,使用位置で水平方向を拘束すること（振り子的な自由度を残す自由吊りは不可）,-,4a,S15-009,数値の許容値はフェーズ3へ送る
E4-i,姿勢保持,優劣,停止高さの再現性が高いほど優,-,-,S15-009,
E4-ii,姿勢保持,優劣,姿勢を決める拘束が幾何的であるほど優,-,-,S15-009,
E4-iii,姿勢保持,優劣,ロール拘束の左右支持スパンが広いほど優,-,-,S15-009,
E4-iv,姿勢保持,優劣,水平方向の案内のすきまが小さく拘束点の間隔が広いほど優,-,-,S15-009,
E5-a,取付インタフェース,合否,機構の荷重経路の終端が梁1右面と梁2左面のみであること。掘り込み天井面・壁・床・他の建材への支持、および突っ張りによる支持を要する方式は不可,E5-ii,4a,S16-003,
E5-b,取付インタフェース,合否,梁への固定が、穴あけとタップ、または梁を挟む機械的把持で実現できること。切欠き・貫通・座掘りなど梁の断面を欠く加工を要する方式は不可,E5-i,4a,S16-003,
E5-i,取付インタフェース,優劣,梁への加工量が少ないほど優（穴数が少なく穴径が小さいほど優。M6が目安でありM8は劣るが不可ではない）,E5-b,-,S16-003,
E5-ii,取付インタフェース,優劣,取付ねじに生じる引抜き力が小さいほど優（数値はフェーズ3へ）,E5-a,-,S16-003,
E6-a,干渉,合否,使用状態でCSPと機構の全要素がD00-033の干渉限界高さより上にあること（成立範囲はD00-034による）,-,4b,S15-007 S26-003 S27-003,適用は使用状態と収納状態とし昇降中の一時的な光路侵入は許容する（S15-007）。S26-003で式をD00-033への参照に改めた
E6-b,干渉,合否,収納状態において、機構およびCSPの全要素が、各ダウンライトのランプ面中心（高さはD00-047による）を頂点とし鉛直下向きを軸としD00-046の1/2ビーム角を頂角とする円錐の内部に入らないこと。使用状態および昇降中は適用しない,-,4b,S15-007 S20-004 S27-003,円錐は3次元として扱う（S25-005）。E2-aと本条によりダウンライト器具との干渉は生じない（S25-005）
E6-c,干渉,合否,x方向で水平の余裕（A00-005）に収まること,-,4b,S15-007 S27-003,適用は使用状態と収納状態とし昇降中は適用しない（S15-007）
E6-i,干渉,優劣,限界高さラインに対する余裕が大きいほど優,-,-,S15-007,
E6-ii,干渉,優劣,当該円錐面からの最短離隔距離が大きいほど優,-,-,S15-007 S20-004,
