確定事項ファイル,,,,,
作成日時：2026年8月30日 00:42,,,,,
ー,,,,,
1,はじめに,,,,
1-1.,本文書の目的,本文書に記載されている内容は1)いちだからの与件、2)セッションを重ねて検討をすすめた中で確定した事項であり、装置設計をするうえでの拠所として参照・使用する。,,,
1-2.,本文書の改訂,本文書への新事項の追加・記載されている項目の改訂を行なうときは都度いちだに申告し承認を得てから起票・改訂をはじめること,,,
1-3.,本文書の改訂,本文書に記載されている項目の改訂を行なうときは、出典ID欄はIDの書き換えではなく追記とすること,,,
,,,,,
2,座標系の定義,,,,
,軸,記号,原点,方向,備考
,左右,x,視聴席（LP）からスクリーン（SC）を見たとき、左手側の壁の内面,(-)原点→右向き(+),原点のある壁を左壁と呼ぶ
,前後,d,SC側の壁の内面,(-)原点→LP側(+),原点のある壁を前壁と呼ぶ
,高さ,h,床面,(-)原点→天井(+),
,,,,,
3,確定寸法,,,,
3-0.,単位,個別に記載のない数値の単位はすべてcmとする,,,
ID,項目,確定値,status,出典ID,備考
3-1.,部屋,,,,
D00-001,シアターゾーン幅,x=0~273,有効,,x=0は左壁だが、x=273 の位置は仕切り壁ではなく、壁がd方向マイナス側へ折り返すコーナー。あらわし梁領域の右端 x=305.5 がこの値を超えるのは矛盾ではない。梁領域は折り返しより右へ続く
D00-002,シアターゾーン奥行き,d=0~348,有効,,
D00-003,シアターゾーン高さ1,h=250,有効,,天井高さ。SCの取り付け高さ（ケース上面高さ）。
D00-004,シアターゾーン高さ2,h=270,有効,,あらわし梁領域の掘り込み箇所の高さ（掘り込み段差=20）
D00-005,シアターゾーン＿あらわし梁領域,x=45.5~305.5、d=45.5~302.5,有効,,梁は生活空間に露出して、d方向に3本走っている。領域前後の垂れ壁を貫通して天井裏まで続いている
D00-006,シアターゾーン梁1左右位置,x=79.0~89.3,有効,,
D00-007,シアターゾーン梁2左右位置,x=170.0~180.3,有効,,
D00-008,シアターゾーン梁3左右位置,x=261.0~271.3,有効,,
D00-009,梁せい,15.5,有効,,梁3本に共通
D00-010,梁下面高さ,h=254.5,有効,,
D00-011,上階の有無,2階あり,有効,,設置エリアは1階。あらわし梁は上階の床を支える構造用床梁にあたる
3-2.,視聴位置,,,,
D00-012,左側視聴位置（LLP）,"x=132.5,d=270,h=100",有効,,
D00-013,右側視聴位置（RLP）,"x=205.5,d=270,h=100",有効,,
3-3.,ダウンライト,,,,
D00-014,個数,6,有効,,左右2列×前後3行
D00-015,直径,11,有効,,
D00-016,左右位置,x=129.65、220.65,有効,,
D00-017,前後位置,d=130.0、175.0、220.0,有効,,
3-4.,スクリーン,,,,
D00-018,設置壁,前壁（d=0）,有効,,
D00-019,ケース上端高さ,h=250,有効,,
D00-020,ケース下端高さ,h=236.1,有効,,
,,,,,
4,寸法以外の確定事項,,,,
ID,項目,確定値,status,出典ID,備考
4-1.,建物・構造,,,,
D00-021,あらわし梁の区分,構造材,有効,,
D00-022,あらわし梁の材種,構造用集成材EW・樹種WW/RW,有効,,
4-2.,設備,,,,
D00-023,梁領域内の電源,無し,有効,,給電が必要な箇所へは延長タップを取り回す
