確定事項ファイル,,,,,,
1,はじめに,,,,,
1-1.,本文書の目的,本文書に記載されている内容は1)依頼主からの与件、2)セッションを重ねて検討をすすめた中で確定した事項であり、装置設計をするうえでの拠所として参照・使用する。,,,,
,,,,,,
1-2.,キー語彙表,,,,,
,系統,語彙,,,,
,A,|部屋|梁|収納部|CSP|SC|PJ|LP|昇降機構|駆動|制御|電源配線|取付|,,,,
,B,|寸法|質量|干渉|安全|意匠|メンテ|静粛|動作時間|入手性|コスト|,,,,
,,,,,,
2,記載ルール,,,,,
,項目,記載内容,備考,,,
2-1.,ID,確定事項のIDを記載する,項目の改訂を行ってもIDは維持する,,,
2-2.,キー,1-2.の語彙からA系統1語以上・B系統1語以上を |キー|キー| の書式で記載する,語彙の追加は依頼主の承認を経る,,,
2-3.,項目,確定した事項を記載する,,,,
2-4.,確定値,確定した値を記載する,,,,
2-5.,status,与件／実測／カタログ／計算／選定／却下 の6値とする。第7の値を置かない,,,,
2-6.,出典ID,出所となるまとめファイルIDを記載する。まとめを経ずに登録した行は出所となる資料名または取得方法を記載する,改訂のときはIDの書き換えではなく追記とする,,,
2-7.,備考,補足事項を記載する,,,,
,,,,,,
3,座標系の定義,,,,,
,軸,記号,原点,方向,備考,
,左右,x,視聴席（LP）からスクリーン（SC）を見たとき、左手側の壁の内面,(-)原点→右向き(+),原点のある壁を左壁と呼ぶ,
,前後,d,SC側の壁の内面,(-)原点→LP側(+),原点のある壁を前壁と呼ぶ,
,高さ,h,床面,(-)原点→天井(+),,
,,,,,,
4,確定寸法,,,,,
4-0.,単位,個別に記載のない数値の単位はすべてcmとする,,,,
ID,キー,項目,確定値,status,出典ID,備考
4-1.,部屋,,,,,
D00-001,|部屋|寸法|,シアターゾーン幅,x=0~273,実測,部屋.xlsx,x=0は左壁だが、x=273 の位置は仕切り壁ではなく、壁がd方向マイナス側へ折り返すコーナー。あらわし梁領域の右端 x=305.5 がこの値を超えるのは矛盾ではない。梁領域は折り返しより右へ続く
D00-002,|部屋|寸法|,シアターゾーン奥行き,d=0~348,実測,部屋.xlsx,
D00-003,|部屋|寸法|,シアターゾーン高さ1,h=250,実測,部屋.xlsx,天井高さ。SCの取り付け高さ（ケース上面高さ）。
D00-004,|部屋|収納部|寸法|,シアターゾーン高さ2,h=270,実測,部屋.xlsx,あらわし梁領域の掘り込み箇所の高さ（掘り込み段差=20）
D00-005,|梁|収納部|寸法|,シアターゾーン＿あらわし梁領域,x=45.5~305.5、d=45.5~302.5,実測,部屋.xlsx,梁は生活空間に露出して、d方向に3本走っている。領域前後の垂れ壁を貫通して天井裏まで続いている
D00-006,|梁|寸法|,シアターゾーン梁1左右位置,x=79.0~89.3,実測,部屋.xlsx,
D00-007,|梁|寸法|,シアターゾーン梁2左右位置,x=170.0~180.3,実測,部屋.xlsx,
D00-008,|梁|寸法|,シアターゾーン梁3左右位置,x=261.0~271.3,実測,部屋.xlsx,
D00-009,|梁|寸法|,梁せい,15.5,実測,部屋.xlsx,梁3本に共通
D00-010,|梁|寸法|,梁下面高さ,h=254.5,実測,部屋.xlsx,
D00-011,|部屋|梁|安全|,上階の有無,2階あり,実測,部屋.xlsx,設置エリアは1階。あらわし梁は上階の床を支える構造用床梁にあたる
D00-025,|梁|取付|寸法|,あらわし梁の呼称巾,105mm,与件,仕様書VI-1,実測値はD00-006〜008より10.3cm。仕様書VI-1に「木材は呼称寸法で実寸とは多少異なる場合があります」との注記あり
4-2.,視聴位置,,,,,
D00-012,|LP|寸法|,左側視聴位置（LLP）,"x=132.5,d=270,h=100",実測,部屋.xlsx,
D00-013,|LP|寸法|,右側視聴位置（RLP）,"x=205.5,d=270,h=100",実測,部屋.xlsx,
4-3.,ダウンライト,,,,,
D00-014,|部屋|干渉|,個数,6,実測,部屋.xlsx,左右2列×前後3行
D00-015,|部屋|寸法|,直径,11,実測,部屋.xlsx,
D00-016,|部屋|寸法|干渉|,左右位置,x=129.65、220.65,実測,部屋.xlsx,
D00-017,|部屋|寸法|干渉|,前後位置,d=130.0、175.0、220.0,実測,部屋.xlsx,
4-4.,スクリーン,,,,,
D00-018,|SC|寸法|,設置壁,前壁（d=0）,実測,部屋.xlsx,
D00-019,|SC|寸法|,ケース上端高さ,h=250,実測,部屋.xlsx,
D00-020,|SC|寸法|干渉|,ケース下端高さ,h=236.1,実測,部屋.xlsx,
,,,,,,
5,寸法以外の確定事項,,,,,
ID,キー,項目,確定値,status,出典ID,備考
5-1.,建物・構造,,,,,
D00-021,|梁|安全|,あらわし梁の区分,構造材,与件,仕様書VI-1,
D00-022,|梁|安全|,あらわし梁の材種,構造用集成材EW・樹種WW/RW,与件,仕様書VI-1,
D00-024,|梁|意匠|,あらわし梁の仕上,サンダー仕上,与件,仕様書VI-1,
5-2.,設備,,,,,
D00-023,|電源配線|取付|メンテ|,梁領域内の電源,無し,実測,現地確認,給電が必要な箇所へは延長タップを取り回す
